Date,Close,High,Low,Open,Volume
,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
2016-04-05,2211.4853515625,2232.2309927591464,2207.3362233231705,2211.4853515625,83700500
2016-04-06,2165.84521484375,2228.0821463047773,2165.84521484375,2207.3365024844347,89264000
2016-04-07,2174.142822265625,2199.037587406071,2174.142822265625,2190.7393323592555,101318500
2016-04-08,2169.993408203125,2190.739043080784,2169.993408203125,2174.142535178657,70473500
2016-04-11,2169.993408203125,2169.993408203125,2169.993408203125,2169.993408203125,0
2016-04-12,2165.84521484375,2178.2926011359555,2153.3978285515445,2157.546957315613,56727000
2016-04-13,2165.84521484375,2165.84521484375,2165.84521484375,2165.84521484375,0
2016-04-14,2165.84521484375,2165.84521484375,2165.84521484375,2165.84521484375,0
2016-04-15,2183.412841796875,2183.412841796875,2183.412841796875,2183.412841796875,0
2016-04-18,2183.412841796875,2183.412841796875,2183.412841796875,2183.412841796875,0
2016-04-19,2183.412841796875,2183.412841796875,2183.412841796875,2183.412841796875,0
2016-04-20,2191.7783203125,2200.143886420563,2175.047188096374,2179.2299711504056,69313000
2016-04-21,2191.7783203125,2195.9611033665315,2175.047188096374,2191.7783203125,62586000
2016-04-22,2195.9609375,2200.1437202380953,2183.412589285714,2191.7781547619047,39264000
2016-04-25,2191.7783203125,2195.9611033665315,2162.49883893428,2191.7783203125,62079000
2016-04-26,2166.68115234375,2183.412280933277,2137.4016773120775,2183.412280933277,129737500
2016-04-27,2183.412841796875,2183.412841796875,2162.4989256877097,2166.6817089095425,64185500
2016-04-28,2179.2294921875,2204.3261849958017,2175.046710052783,2195.960620726368,68854000
2016-04-29,2183.412841796875,2195.9611914623742,2175.047275353209,2179.2300585750418,61001500
2016-05-02,2191.7783203125,2195.9611033665315,2170.8644050423427,2191.7783203125,26048000
2016-05-03,2183.412841796875,2204.3267579060407,2179.2300585750418,2195.9611914623742,82224500
2016-05-04,2191.7783203125,2191.7783203125,2179.2299711504056,2183.412754204437,75545000
2016-05-09,2195.9609375,2208.509285714286,2183.412589285714,2191.7781547619047,91446000
2016-05-10,2204.326416015625,2225.2403288810483,2183.4125031502017,2183.4125031502017,158328000
2016-05-11,2200.143798828125,2225.2404961531606,2191.778233053113,2200.143798828125,91480000
2016-05-12,2200.143798828125,2208.509364603137,2191.778233053113,2191.778233053113,43259500
2016-05-13,2200.143798828125,2208.509364603137,2175.0471015030894,2175.0471015030894,75686000
2016-05-16,2179.2294921875,2191.777838591651,2166.6811457833496,2191.777838591651,84077000
2016-05-17,2175.046875,2183.4124399038465,2158.315745192308,2179.2296574519232,64829000
2016-05-18,2179.2294921875,2183.412274322217,2158.3155815139157,2158.3155815139157,66771000
2016-05-19,2170.86376953125,2179.2293331903297,2166.68098770171,2175.0465513607896,105881500
2016-05-20,2179.2294921875,2179.2294921875,2166.6811457833496,2166.6811457833496,68004000
2016-05-23,2191.7783203125,2191.7783203125,2162.49883893428,2175.047188096374,31748500
2016-05-24,2170.86376953125,2187.59489684941,2170.86376953125,2183.41211501987,69157000
2016-05-25,2175.046875,2179.2296574519232,2154.1329627403848,2175.046875,84150500
2016-05-26,2179.2294921875,2187.595056456934,2158.3155815139157,2187.595056456934,42055000
2016-05-27,2175.046875,2179.2296574519232,2158.315745192308,2175.046875,80811500
2016-05-30,2208.50927734375,2225.2404082327175,2170.864232843572,2179.2297982880564,99330000
2016-05-31,2175.046875,2225.240264423077,2175.046875,2225.240264423077,160724000
2016-06-01,2204.326416015625,2204.326416015625,2183.4125031502017,2191.7780682963707,82418000
2016-06-02,2200.143798828125,2208.509364603137,2187.595450165607,2191.778233053113,88747000
2016-06-03,2195.9609375,2200.1437202380953,2179.229806547619,2183.412589285714,53839500
2016-06-06,2195.9609375,2208.509285714286,2187.5953720238094,2195.9609375,105900000
2016-06-07,2191.7783203125,2200.143886420563,2187.5955372584685,2200.143886420563,87665500
2016-06-08,2191.7783203125,2195.9611033665315,2175.047188096374,2187.5955372584685,89579500
2016-06-09,2175.046875,2183.4124399038465,2166.681310096154,2179.2296574519232,67474500
2016-06-10,2162.498291015625,2175.046636998308,2158.3155090213977,2170.86385500408,77928000
2016-06-13,2137.40234375,2166.681827910959,2133.2195602984343,2149.9506941046966,75798500
2016-06-14,2149.950439453125,2149.950439453125,2120.6709587601836,2124.853741716318,78620500
2016-06-15,2162.498291015625,2166.6810730098528,2141.5843810444876,2149.9499450329427,35512500
2016-06-16,2175.046875,2179.2296574519232,2162.4985276442308,2166.681310096154,49661000
2016-06-17,2158.315673828125,2179.229585396227,2149.950109200884,2175.0468030826064,60702000
2016-06-20,2145.767822265625,2166.681738661976,2129.036689148544,2158.3161721034357,46267000
2016-06-21,2145.767822265625,2158.3161721034357,2129.036689148544,2145.767822265625,89712000
2016-06-22,2158.315673828125,2187.595150023468,2145.7673268872636,2145.7673268872636,60166000
2016-06-23,2166.68115234375,2179.2294987858954,2149.950023754223,2158.3155880489862,30252000
2016-06-24,2137.40234375,2166.681827910959,2112.305643040607,2154.1334775562623,86883500
2016-06-27,2141.5849609375,2145.767744064331,2116.4882621765137,2116.4882621765137,44316000
2016-06-28,2179.2294921875,2195.960620726368,2145.767235109765,2145.767235109765,121856000
2016-06-29,2225.240478515625,2225.240478515625,2200.143781389509,2200.143781389509,200147000
2016-06-30,2229.4228515625,2250.3367619899154,2221.057287391534,2241.9711978189493,186770500
2016-07-01,2212.69189453125,2254.519718624468,2208.509112121928,2237.788588987181,126695500
2016-07-11,2258.70263671875,2275.433767361111,2216.874810112847,2233.6059407552084,197073000
